day,timestamp,abs_timestamp,product,position,cash,mid_price,product_pnl
-1,0,-1000000,EMERALDS,0,0.0,10000.0,0.0
-1,0,-1000000,TOMATOES,0,0.0,5006.0,0.0
-1,100,-999900,EMERALDS,0,0.0,10000.0,0.0
-1,100,-999900,TOMATOES,0,0.0,5006.5,0.0
-1,200,-999800,EMERALDS,0,0.0,10000.0,0.0
-1,200,-999800,TOMATOES,0,0.0,5006.5,0.0
-1,300,-999700,EMERALDS,0,0.0,10000.0,0.0
-1,300,-999700,TOMATOES,0,0.0,5007.0,0.0
-1,400,-999600,EMERALDS,0,0.0,10000.0,0.0
-1,400,-999600,TOMATOES,0,0.0,5007.0,0.0
-1,500,-999500,EMERALDS,0,0.0,10000.0,0.0
-1,500,-999500,TOMATOES,0,0.0,5007.0,0.0
-1,600,-999400,EMERALDS,0,0.0,10000.0,0.0
-1,600,-999400,TOMATOES,0,0.0,5009.5,0.0
-1,700,-999300,EMERALDS,0,0.0,10000.0,0.0
-1,700,-999300,TOMATOES,0,0.0,5007.0,0.0
-1,800,-999200,EMERALDS,0,0.0,10000.0,0.0
-1,800,-999200,TOMATOES,0,0.0,5006.5,0.0
-1,900,-999100,EMERALDS,0,0.0,10000.0,0.0
-1,900,-999100,TOMATOES,0,0.0,5006.5,0.0
-1,1000,-999000,EMERALDS,0,0.0,10000.0,0.0
-1,1000,-999000,TOMATOES,0,0.0,5007.0,0.0
-1,1100,-998900,EMERALDS,0,0.0,10000.0,0.0
-1,1100,-998900,TOMATOES,0,0.0,5010.0,0.0
-1,1200,-998800,EMERALDS,0,0.0,10000.0,0.0
-1,1200,-998800,TOMATOES,0,0.0,5007.0,0.0
-1,1300,-998700,EMERALDS,0,0.0,10000.0,0.0
-1,1300,-998700,TOMATOES,0,0.0,5007.5,0.0
-1,1400,-998600,EMERALDS,0,0.0,10000.0,0.0
-1,1400,-998600,TOMATOES,0,0.0,5007.0,0.0
-1,1500,-998500,EMERALDS,0,0.0,10000.0,0.0
-1,1500,-998500,TOMATOES,0,0.0,5011.0,0.0
-1,1600,-998400,EMERALDS,0,0.0,10000.0,0.0
-1,1600,-998400,TOMATOES,0,0.0,5007.5,0.0
-1,1700,-998300,EMERALDS,0,0.0,10000.0,0.0
-1,1700,-998300,TOMATOES,0,0.0,5007.0,0.0
-1,1800,-998200,EMERALDS,0,0.0,10000.0,0.0
-1,1800,-998200,TOMATOES,0,0.0,5006.5,0.0
-1,1900,-998100,EMERALDS,0,0.0,10000.0,0.0
-1,1900,-998100,TOMATOES,0,0.0,5006.5,0.0
-1,2000,-998000,EMERALDS,0,0.0,10000.0,0.0
-1,2000,-998000,TOMATOES,0,0.0,5006.0,0.0
-1,2100,-997900,EMERALDS,0,0.0,10000.0,0.0
-1,2100,-997900,TOMATOES,0,0.0,5005.5,0.0
-1,2200,-997800,EMERALDS,0,0.0,10000.0,0.0
-1,2200,-997800,TOMATOES,0,0.0,5004.0,0.0
-1,2300,-997700,EMERALDS,0,0.0,10000.0,0.0
-1,2300,-997700,TOMATOES,0,0.0,5003.5,0.0
-1,2400,-997600,EMERALDS,0,0.0,10000.0,0.0
-1,2400,-997600,TOMATOES,0,0.0,5003.0,0.0
-1,2500,-997500,EMERALDS,0,0.0,10000.0,0.0
-1,2500,-997500,TOMATOES,0,0.0,5002.5,0.0
-1,2600,-997400,EMERALDS,0,0.0,10000.0,0.0
-1,2600,-997400,TOMATOES,0,0.0,5002.5,0.0
-1,2700,-997300,EMERALDS,0,0.0,10000.0,0.0
-1,2700,-997300,TOMATOES,0,0.0,5003.5,0.0
-1,2800,-997200,EMERALDS,0,0.0,9996.0,0.0
-1,2800,-997200,TOMATOES,0,0.0,5004.0,0.0
-1,2900,-997100,EMERALDS,0,0.0,10000.0,0.0
-1,2900,-997100,TOMATOES,0,0.0,5004.0,0.0
-1,3000,-997000,EMERALDS,0,0.0,10000.0,0.0
-1,3000,-997000,TOMATOES,0,0.0,5003.0,0.0
-1,3100,-996900,EMERALDS,0,0.0,10000.0,0.0
-1,3100,-996900,TOMATOES,0,0.0,5003.0,0.0
-1,3200,-996800,EMERALDS,8,-79968.0,10000.0,32.0
-1,3200,-996800,TOMATOES,0,0.0,5002.5,0.0
-1,3300,-996700,EMERALDS,8,-79968.0,10000.0,32.0
-1,3300,-996700,TOMATOES,0,0.0,5003.0,0.0
-1,3400,-996600,EMERALDS,8,-79968.0,10000.0,32.0
-1,3400,-996600,TOMATOES,-2,10016.0,5002.5,11.0
-1,3500,-996500,EMERALDS,8,-79968.0,10000.0,32.0
-1,3500,-996500,TOMATOES,-2,10016.0,5001.5,13.0
-1,3600,-996400,EMERALDS,8,-79968.0,10000.0,32.0
-1,3600,-996400,TOMATOES,-2,10016.0,5001.5,13.0
-1,3700,-996300,EMERALDS,8,-79968.0,10000.0,32.0
-1,3700,-996300,TOMATOES,-2,10016.0,5001.5,13.0
-1,3800,-996200,EMERALDS,8,-79968.0,10000.0,32.0
-1,3800,-996200,TOMATOES,-2,10016.0,5001.0,14.0
-1,3900,-996100,EMERALDS,8,-79968.0,10000.0,32.0
-1,3900,-996100,TOMATOES,-2,10016.0,5002.0,12.0
-1,4000,-996000,EMERALDS,8,-79968.0,10000.0,32.0
-1,4000,-996000,TOMATOES,-2,10016.0,5002.5,11.0
-1,4100,-995900,EMERALDS,8,-79968.0,10000.0,32.0
-1,4100,-995900,TOMATOES,-2,10016.0,5002.5,11.0
-1,4200,-995800,EMERALDS,8,-79968.0,10004.0,64.0
-1,4200,-995800,TOMATOES,-2,10016.0,5002.5,11.0
-1,4300,-995700,EMERALDS,8,-79968.0,10000.0,32.0
-1,4300,-995700,TOMATOES,-2,10016.0,4998.5,19.0
-1,4400,-995600,EMERALDS,8,-79968.0,10000.0,32.0
-1,4400,-995600,TOMATOES,-2,10016.0,5001.5,13.0
-1,4500,-995500,EMERALDS,8,-79968.0,10000.0,32.0
-1,4500,-995500,TOMATOES,-2,10016.0,5002.0,12.0
-1,4600,-995400,EMERALDS,8,-79968.0,10000.0,32.0
-1,4600,-995400,TOMATOES,-2,10016.0,5002.0,12.0
-1,4700,-995300,EMERALDS,8,-79968.0,10000.0,32.0
-1,4700,-995300,TOMATOES,-2,10016.0,5002.0,12.0
-1,4800,-995200,EMERALDS,8,-79968.0,10000.0,32.0
