day,timestamp,abs_timestamp,submitted_orders,executed_fills,pending_orders_next_step,conversions,positions_total_abs,total_pnl,orders,stdout
-1,0,-1000000,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@8 | TOMATOES:5010@-8,
-1,100,-999900,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@7 | TOMATOES:5011@-7,
-1,200,-999800,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@7 | TOMATOES:5011@-7,
-1,300,-999700,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@8 | TOMATOES:5011@-8,
-1,400,-999600,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@8 | TOMATOES:5011@-8,
-1,500,-999500,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@8 | TOMATOES:5011@-8,
-1,600,-999400,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5006@6 | TOMATOES:5012@-6,
-1,700,-999300,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5003@8 | TOMATOES:5012@-8,
-1,800,-999200,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@7 | TOMATOES:5011@-7,
-1,900,-999100,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@7 | TOMATOES:5011@-7,
-1,1000,-999000,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5003@8 | TOMATOES:5012@-8,
-1,1100,-998900,3,0,3,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5009@5,
-1,1200,-998800,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5003@8 | TOMATOES:5012@-8,
-1,1300,-998700,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5003@7 | TOMATOES:5012@-7,
-1,1400,-998600,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5003@8 | TOMATOES:5012@-8,
-1,1500,-998500,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5009@6 | TOMATOES:5013@-6,
-1,1600,-998400,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5003@7 | TOMATOES:5012@-7,
-1,1700,-998300,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5003@8 | TOMATOES:5012@-8,
-1,1800,-998200,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@7 | TOMATOES:5011@-7,
-1,1900,-998100,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5002@7 | TOMATOES:5011@-7,
